#,Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,First_pokemon,Second_pokemon,Total Fights,Win Percentage
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,37,37,133,0.2781954887218045
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,46,46,121,0.38016528925619836
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,89,89,132,0.6742424242424242
3,4,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,70,70,125,0.56
4,5,Charmander,Fire,,39,52,43,60,50,65,1,False,55,55,112,0.49107142857142855
5,6,Charmeleon,Fire,,58,64,58,80,65,80,1,False,64,64,118,0.5423728813559322
6,7,Charizard,Fire,Flying,78,84,78,109,85,100,1,False,115,115,133,0.8646616541353384
7,8,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,119,119,139,0.8561151079136691
8,9,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,114,114,135,0.8444444444444444
9,10,Squirtle,Water,,44,48,65,50,64,43,1,False,19,19,117,0.1623931623931624
10,11,Wartortle,Water,,59,63,80,65,80,58,1,False,59,59,141,0.41843971631205673
12,13,Mega Blastoise,Water,,79,103,120,135,115,78,1,False,83,83,144,0.5763888888888888
13,14,Caterpie,Bug,,45,30,35,20,20,45,1,False,17,17,115,0.14782608695652175
14,15,Metapod,Bug,,50,20,55,25,25,30,1,False,13,13,133,0.09774436090225563
15,16,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,75,75,120,0.625
16,17,Weedle,Bug,Poison,40,35,30,20,20,50,1,False,26,26,111,0.23423423423423423
17,18,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,17,17,130,0.13076923076923078
18,19,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,80,80,128,0.625
19,20,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False,115,115,119,0.9663865546218487
20,21,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,47,47,126,0.373015873015873
21,22,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,64,64,121,0.5289256198347108
22,23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,112,112,130,0.8615384615384616
23,24,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False,119,119,126,0.9444444444444444
24,25,Rattata,Normal,,30,56,35,25,35,72,1,False,65,65,135,0.48148148148148145
25,26,Raticate,Normal,,55,81,60,50,70,97,1,False,101,101,140,0.7214285714285714
26,27,Spearow,Normal,Flying,40,60,30,31,31,70,1,False,62,62,138,0.4492753623188406
27,28,Fearow,Normal,Flying,65,90,65,61,61,100,1,False,103,103,123,0.8373983739837398
28,29,Ekans,Poison,,35,60,44,40,54,55,1,False,48,48,131,0.366412213740458
29,30,Arbok,Poison,,60,85,69,65,79,80,1,False,72,72,125,0.576
30,31,Pikachu,Electric,,35,55,40,50,50,90,1,False,93,93,136,0.6838235294117647
31,32,Raichu,Electric,,60,90,55,90,80,110,1,False,105,105,121,0.8677685950413223
33,34,Sandslash,Ground,,75,100,110,45,55,65,1,False,56,56,105,0.5333333333333333
34,35,Nidoran♀,Poison,,55,47,52,40,40,41,1,False,20,20,119,0.16806722689075632
35,36,Nidorina,Poison,,70,62,67,55,55,56,1,False,57,57,148,0.38513513513513514
36,37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,66,66,122,0.5409836065573771
37,38,Nidoran♂,Poison,,46,57,40,40,40,50,1,False,34,34,136,0.25
38,39,Nidorino,Poison,,61,72,57,55,55,65,1,False,51,51,128,0.3984375
39,40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,79,79,140,0.5642857142857143
40,41,Clefairy,Fairy,,70,45,48,60,65,35,1,False,20,20,127,0.15748031496062992
41,42,Clefable,Fairy,,95,70,73,95,90,60,1,False,49,49,123,0.3983739837398374
42,43,Vulpix,Fire,,38,41,40,50,65,65,1,False,53,53,129,0.4108527131782946
43,44,Ninetales,Fire,,73,76,75,81,100,100,1,False,103,103,127,0.8110236220472441
44,45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,15,15,130,0.11538461538461539
46,47,Zubat,Poison,Flying,40,45,35,30,40,55,1,False,55,55,145,0.3793103448275862
47,48,Golbat,Poison,Flying,75,80,70,65,75,90,1,False,97,97,128,0.7578125
48,49,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,9,9,143,0.06293706293706294
49,50,Gloom,Grass,Poison,60,65,70,85,75,40,1,False,28,28,129,0.21705426356589147
50,51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,44,44,124,0.3548387096774194
51,52,Paras,Bug,Grass,35,70,55,45,55,25,1,False,13,13,138,0.09420289855072464
52,53,Parasect,Bug,Grass,60,95,80,60,80,30,1,False,30,30,154,0.19480519480519481
53,54,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,32,32,143,0.22377622377622378
54,55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,92,92,140,0.6571428571428571
55,56,Diglett,Ground,,10,55,25,35,45,95,1,False,68,68,126,0.5396825396825397
56,57,Dugtrio,Ground,,35,80,50,50,70,120,1,False,108,108,128,0.84375
57,58,Meowth,Normal,,40,45,35,40,40,90,1,False,91,91,140,0.65
58,59,Persian,Normal,,65,70,60,65,65,115,1,False,103,103,120,0.8583333333333333
59,60,Psyduck,Water,,50,52,48,65,50,55,1,False,47,47,142,0.33098591549295775
60,61,Golduck,Water,,80,82,78,95,80,85,1,False,79,79,115,0.6869565217391305
61,62,Mankey,Fighting,,40,80,35,35,45,70,1,False,55,55,118,0.4661016949152542
62,63,,Fighting,,65,105,60,60,70,95,1,False,85,85,108,0.7870370370370371
63,64,Growlithe,Fire,,55,70,45,70,50,60,1,False,54,54,120,0.45
64,65,Arcanine,Fire,,90,110,80,100,80,95,1,False,91,91,114,0.7982456140350878
66,67,Poliwhirl,Water,,65,65,65,50,50,90,1,False,90,90,125,0.72
67,68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False,68,68,130,0.5230769230769231
68,69,Abra,Psychic,,25,20,15,105,55,90,1,False,35,35,108,0.32407407407407407
69,70,Kadabra,Psychic,,40,35,30,120,70,105,1,False,87,87,130,0.6692307692307692
70,71,Alakazam,Psychic,,55,50,45,135,95,120,1,False,108,108,140,0.7714285714285715
71,72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,False,86,86,110,0.7818181818181819
72,73,Machop,Fighting,,70,80,50,35,35,35,1,False,21,21,150,0.14
73,74,Machoke,Fighting,,80,100,70,50,60,45,1,False,32,32,124,0.25806451612903225
74,75,Machamp,Fighting,,90,130,80,65,85,55,1,False,51,51,116,0.4396551724137931
75,76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,23,23,108,0.21296296296296297
76,77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,45,45,121,0.371900826446281
78,79,Tentacool,Water,Poison,40,40,35,50,100,70,1,False,79,79,157,0.5031847133757962
79,80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False,94,94,117,0.8034188034188035
80,81,Geodude,Rock,Ground,40,80,100,30,30,20,1,False,16,16,135,0.11851851851851852
81,82,Graveler,Rock,Ground,55,95,115,45,45,35,1,False,29,29,137,0.2116788321167883
82,83,Golem,Rock,Ground,80,120,130,55,65,45,1,False,50,50,135,0.37037037037037035
83,84,Ponyta,Fire,,50,85,55,65,65,90,1,False,86,86,115,0.7478260869565218
84,85,Rapidash,Fire,,65,100,70,80,80,105,1,False,91,91,105,0.8666666666666667
85,86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,24,24,122,0.19672131147540983
86,87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,20,20,131,0.15267175572519084
87,88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False,16,16,116,0.13793103448275862
88,89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,24,24,143,0.16783216783216784
90,91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False,52,52,116,0.4482758620689655
91,92,Doduo,Normal,Flying,35,85,45,35,35,75,1,False,87,87,134,0.6492537313432836
92,93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False,121,121,143,0.8461538461538461
93,94,Seel,Water,,65,45,55,45,70,45,1,False,29,29,119,0.24369747899159663
94,95,Dewgong,Water,Ice,90,70,80,70,95,70,1,False,68,68,131,0.5190839694656488
95,96,Grimer,Poison,,80,80,50,40,50,25,1,False,25,25,142,0.176056338028169
96,97,Muk,Poison,,105,105,75,65,100,50,1,False,50,50,133,0.37593984962406013
97,98,Shellder,Water,,30,65,100,45,25,40,1,False,21,21,111,0.1891891891891892
98,99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,71,71,134,0.5298507462686567
99,100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,61,61,128,0.4765625
100,101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False,77,77,111,0.6936936936936937
101,102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False,88,88,114,0.7719298245614035
102,103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False,113,113,131,0.8625954198473282
103,104,Onix,Rock,Ground,35,45,160,30,45,70,1,False,65,65,135,0.48148148148148145
104,105,Drowzee,Psychic,,60,48,45,43,90,42,1,False,30,30,137,0.21897810218978103
105,106,Hypno,Psychic,,85,73,70,73,115,67,1,False,61,61,119,0.5126050420168067
106,107,Krabby,Water,,30,105,90,25,25,50,1,False,38,38,137,0.2773722627737226
107,108,Kingler,Water,,55,130,115,50,50,75,1,False,67,67,112,0.5982142857142857
108,109,Voltorb,Electric,,40,30,50,55,55,100,1,False,66,66,113,0.584070796460177
109,110,Electrode,Electric,,60,50,70,80,80,140,1,False,109,109,129,0.8449612403100775
110,111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False,32,32,136,0.23529411764705882
111,112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False,37,37,95,0.3894736842105263
112,113,Cubone,Ground,,50,50,95,40,50,35,1,False,29,29,143,0.20279720279720279
113,114,Marowak,Ground,,60,80,110,50,80,45,1,False,34,34,120,0.2833333333333333
114,115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,False,82,82,128,0.640625
115,116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,False,87,87,140,0.6214285714285714
116,117,Lickitung,Normal,,90,55,75,60,75,30,1,False,19,19,136,0.13970588235294118
117,118,Koffing,Poison,,40,65,95,60,45,35,1,False,20,20,143,0.13986013986013987
118,119,Weezing,Poison,,65,90,120,85,70,60,1,False,56,56,129,0.43410852713178294
119,120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,34,34,119,0.2857142857142857
120,121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,48,48,108,0.4444444444444444
121,122,Chansey,Normal,,250,5,5,35,105,50,1,False,15,15,98,0.15306122448979592
122,123,Tangela,Grass,,65,55,115,100,40,60,1,False,49,49,129,0.3798449612403101
